model,feature_set,best_params,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_rmse,test_mae,test_r2,high_rmse,high_mae,high_bias
TorchMLPSmall,X_full,"{""hidden_dim"": 64, ""dropout"": 0.1, ""lr"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 350, ""batch_size"": 64}",0.14424434626970611,0.03251244809776752,0.10202942151312475,0.013547134778540516,0.8433694986965264,0.07267525117501489,0.12289036451797207,0.09238578103385837,0.923712035740627,0.19417493795434282,0.15493180002239465,-0.11577155803415114
Ridge,X_full,"{""alpha"": 1.0}",0.14728350353414982,0.038187731840361706,0.1053862661326505,0.013265617506078095,0.8376187809847682,0.0819104104131322,0.17361704884612275,0.12093307659590387,0.847733242139559,0.2509037147268719,0.19115737785566686,-0.13882543657991225
TorchMLPSmall,X_reduced,"{""hidden_dim"": 128, ""dropout"": 0.1, ""lr"": 0.001, ""weight_decay"": 0.0001, ""epochs"": 350, ""batch_size"": 64}",0.14792356793850586,0.042977769357541024,0.09751199102528622,0.016632094120787002,0.8304422304569844,0.09460172867495911,0.1805955051233695,0.11343984483651993,0.8352466573023666,0.33864442357141566,0.2219304128272377,-0.20369491790506178
RandomForest,X_full,"{""n_estimators"": 300, ""max_depth"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.15890978432636443,0.028595569730293553,0.11155002709824442,0.014581526684239747,0.8170422546932965,0.061261883764101945,0.204435898185906,0.13691410058175435,0.7888774229725852,0.33649106353349795,0.25764953379954186,-0.23598539037103866
Ridge,X_reduced,"{""alpha"": 0.1}",0.14359899303139648,0.015594458982470218,0.10897797817026578,0.008562550517323459,0.8509888349576349,0.036157673111388386,0.20927647262160637,0.13765446529370556,0.7787612610717658,0.34440886500272966,0.2520121984046627,-0.18776203607293898
RandomForest,X_reduced,"{""n_estimators"": 300, ""max_depth"": 10, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.15831358908552517,0.029402657729503658,0.11100904463949846,0.012929071987963538,0.817754175000746,0.06363563461528485,0.21265174822238683,0.1400860265858412,0.7715672984769795,0.34943431048593226,0.2598394698664516,-0.23376876746935354
LinearRegression,Phys_C_small_electronic,"{""dummy"": 0}",0.21457196512420307,0.020278843719768812,0.1620930327778428,0.016825005127271694,0.6726832485420069,0.049418978867030464,0.23150080448277138,0.17097546149598386,0.7292768652355667,0.27150586648767894,0.219713014849716,-0.15648157213899427
Ridge,Phys_C_small_electronic,"{""alpha"": 1.0}",0.2145585091517142,0.02044237841888937,0.16205861967694477,0.017070814506375525,0.6727961970741949,0.04928111346987042,0.23170792247505614,0.17143732584700597,0.7287922300723522,0.27251290647987825,0.22110672641664103,-0.1587599000808888
LinearRegression,Phys_B_LUMO_HOMO,"{""dummy"": 0}",0.23312664947157274,0.0211053815834216,0.1755845105283939,0.016491792253712702,0.616290464922562,0.03687072522663253,0.2564449283164939,0.1934649982117696,0.6677931447845618,0.3310785115092828,0.2633173110032108,-0.24226519678804212
Ridge,Phys_B_LUMO_HOMO,"{""alpha"": 1.0}",0.2331129786141967,0.021121003834531457,0.17540051355523548,0.016456114504903287,0.616355878542078,0.03666963564277949,0.256675187682503,0.19363845073840158,0.6671963064547527,0.332145992856404,0.2645941199803379,-0.24381550763818555
LinearRegression,Phys_A_LUMO,"{""dummy"": 0}",0.2344020283763107,0.0216718095219922,0.17437921952439372,0.017612099431168215,0.6120884166942406,0.03829818059503342,0.2599978717842128,0.19708323422607169,0.6585241873978185,0.33707072603098465,0.2731382434454496,-0.24707245444032483
Ridge,Phys_A_LUMO,"{""alpha"": 1.0}",0.2343962711895941,0.021679310405691397,0.1743398060662094,0.017626459155209613,0.6121227188502503,0.03814975453785968,0.26013627078054846,0.19710181582356365,0.6581605498970102,0.3379027141544922,0.27373253751664717,-0.2483560643074208
