model,feature_set,test_r2,r2_ci_lo,r2_ci_hi,test_rmse,rmse_ci_lo,rmse_ci_hi,test_mae,mae_ci_lo,mae_ci_hi
TorchMLPSmall,X_full,0.9207218084916833,0.8848574911998501,0.9509631238734392,0.12301396173387345,0.1000884915163456,0.14649975426471026,0.0927311621615478,0.07760177968843365,0.10844945893877647
Ridge,X_full,0.8447518570289951,0.7800858803016409,0.8965298032630172,0.1729237010482867,0.13674298837711,0.2101817951303604,0.12135491101604891,0.09862475346156852,0.14647178686743012
TorchMLPSmall,X_reduced,0.8350332504906869,0.7691087329797369,0.898945659438763,0.17894160173839446,0.12980837988401053,0.23538438170956782,0.11399463493857474,0.08876044795367455,0.1441333747241394
RandomForest,X_full,0.7872454700938719,0.7088393307942246,0.8589315605221903,0.20311495885770392,0.1527698397056717,0.259194495417858,0.13735589646059043,0.10902538992237461,0.1710390233808454
Ridge,X_reduced,0.7766674938586395,0.6959343306323744,0.8504580656290873,0.2080142015593833,0.15817662660485968,0.2625293666005954,0.13801301285534015,0.1106972698676886,0.1715328968565989
RandomForest,X_reduced,0.7704109236582585,0.6750876939760528,0.853672619024668,0.2109361638910009,0.15669223013219216,0.27271948201126717,0.14048280140813124,0.11152964158841383,0.17642253951790254
LinearRegression,Phys_C_small_electronic,0.7203842690383719,0.5742557245451574,0.8253054671921805,0.23100111705887771,0.1877373951412929,0.27745405062259654,0.17132715862358464,0.142636525547179,0.20353241742277645
Ridge,Phys_C_small_electronic,0.7198979180693584,0.5740251956707182,0.8246241212713915,0.23121494757606473,0.18804844041127777,0.27733056817572077,0.17179330912655055,0.1431739254526988,0.20398425629247097
LinearRegression,Phys_B_LUMO_HOMO,0.6582376780619182,0.5322042229714886,0.7592202660494595,0.25630830480664923,0.21585780475582098,0.29846097993413173,0.19385188589523397,0.1625804326277564,0.22879472478496193
Ridge,Phys_B_LUMO_HOMO,0.6576486543368395,0.5317732767424633,0.7583044324427861,0.25654106739174415,0.21611322550193085,0.29871694883721034,0.19402862229461482,0.16264540283154272,0.22901837642843498
LinearRegression,Phys_A_LUMO,0.6484310660285977,0.5202253809247274,0.7507696785657363,0.25997652301113294,0.2205583582362397,0.30205946761309,0.19764277051834359,0.16551983982994964,0.23317260195978146
Ridge,Phys_A_LUMO,0.6480878465304403,0.520058459493142,0.7502239212651706,0.2601138030610022,0.22063089757419063,0.30222638898214554,0.19766064048153192,0.1654977835977525,0.23327319917219239
