Name,predicted_redox_potential,MW,TopoPSA,LipoaffinityIndex,dipole_moment,nRing,VABC,LUMO,HOMO,nAtom,nHeavyAtom,topoDiameter,capacity_proxy_mAh_g,screen_score,screen_rank,passes_mw,passes_polarity,passes_complexity,passes_electronic,passes_all,pareto_frontier
89324826_b3lyp,1.2978425,175.063328528,57.93,2.1657633975812542,4.77749,1.0,181.91830766315576,-2.241,-10.78,22,13,6.0,306.19183777438303,0.3917585605703943,164,True,True,True,True,True,False
8718_b3lyp_prop_0,1.0008187,174.06807956,34.14,3.017953274754346,1.78311,1.0,188.21753208085585,-1.744,-9.783,23,13,6.0,307.9425155053333,0.3390363971832342,293,True,True,True,True,True,False
8718_b3lyp,0.7556689,136.052429496,34.14,2.056163148148148,0.00219563,1.0,141.60249560485568,-1.79,-10.376,18,10,5.0,393.98754206344285,0.362006444762643,236,True,False,True,True,False,False
86210053_b3lyp_prop_0,1.8977228,196.027277368,81.72,2.1746840457294025,3.54137,1.0,199.66521769398923,-2.904,-10.82,19,15,7.0,273.4464458650854,0.47528329219121096,34,True,True,True,True,True,False
86210053_b3lyp,1.9468415,158.011627304,81.72,1.11094582010582,0.00183835,1.0,153.05018121798915,-3.117,-11.554,14,12,7.0,339.2342905611728,0.5307470102713522,12,True,False,True,False,False,False
8530_b3lyp_prop_3,0.9577532,196.052429496,34.14,3.9515267578420255,1.57067,2.0,194.28012523018924,-1.783,-10.145,23,15,8.0,273.4113646369403,0.30405577537369133,378,True,True,True,True,True,False
8530_b3lyp_prop_2,0.9128617,196.052429496,34.14,4.033479916855631,2.89136,2.0,194.28012523018924,-1.714,-9.55,23,15,7.0,273.4113646369403,0.2958795380289495,390,True,True,True,True,True,False
8530_b3lyp,0.71364594,158.036779432,34.14,3.00611,1.60826,2.0,147.66508875418907,-1.874,-10.412,18,12,5.0,339.1803001905208,0.3112813880330886,367,True,True,True,True,True,False
78494_b3lyp_prop_2,1.0846863,174.06807956,34.14,3.1026015287226003,2.70628,1.0,188.21753208085585,-1.832,-10.198,23,13,7.0,307.9425155053333,0.35431148811608026,250,True,True,True,True,True,False
78494_b3lyp_prop_1,1.0810051,174.06807956,34.14,3.111158341128118,1.33789,1.0,188.21753208085585,-1.829,-10.194,23,13,8.0,307.9425155053333,0.3536410103681631,254,True,True,True,True,True,False
78494_b3lyp_prop_0,1.1190962,174.06807956,34.14,3.0758009136432345,2.25935,1.0,188.21753208085585,-1.843,-9.888,23,13,6.0,307.9425155053333,0.3605786780956335,239,True,True,True,True,True,False
78494_b3lyp,0.9461466,136.052429496,34.14,2.1618859722222226,1.15671,1.0,141.60249560485568,-1.931,-10.432,18,10,5.0,393.98754206344285,0.3966988216146785,160,True,True,True,True,True,False
78362_b3lyp_prop_0,1.9438452,196.027277368,81.72,2.2332012759826148,7.91072,1.0,199.6652176939892,-2.93,-10.869,19,15,8.0,273.4464458650854,0.4836837324072754,25,True,False,True,True,False,False
78362_b3lyp,2.0166073,158.011627304,81.72,1.2039344444444442,5.31355,1.0,153.05018121798912,-3.124,-11.507,14,12,5.0,339.2342905611728,0.5439017183083826,6,True,True,True,True,True,True
73698_b3lyp_prop_3,0.3812176,274.0993796880001,34.14,6.685550676204123,1.19585,3.0,269.5266568829896,-1.511,-9.397,35,21,10.0,195.56031958154625,0.13296332176624895,489,True,False,False,False,False,False
73698_b3lyp_prop_2,0.594172,274.0993796880001,34.14,6.654883894846519,3.03756,3.0,269.5266568829896,-1.336,-9.311,35,21,9.0,195.56031958154625,0.17140632558815502,477,True,False,False,False,False,False
73698_b3lyp_prop_0,0.41000435,274.0993796880001,34.14,6.665832942071891,2.41176,3.0,269.5266568829896,-1.51,-9.232,35,21,10.0,195.56031958154625,0.13829498103332266,488,True,False,False,False,False,False
73698_b3lyp_3,0.5782486,261.078978592,57.93,5.096942899554883,5.04125,3.0,245.9314478394228,-1.954,-9.727,31,20,9.0,205.31320667014205,0.18141911634256658,472,True,True,True,True,True,False
73698_b3lyp_2,0.8851378,261.078978592,57.93,5.072493358764802,4.44334,3.0,245.9314478394228,-1.722,-9.66,31,20,8.0,205.31320667014205,0.23731390842249211,438,True,True,True,True,True,False
73698_b3lyp_0,0.6309991,261.078978592,57.93,5.024897931626355,4.29142,3.0,245.9314478394228,-1.919,-9.907,31,20,9.0,205.31320667014205,0.1910267443304282,463,True,True,True,True,True,False
73698_b3lyp,0.39717084,236.083729624,34.14,5.644517494331065,0.651121,3.0,222.91162040698933,-1.54,-9.473,30,18,7.0,227.05064162727322,0.16552154512682746,478,True,False,True,False,False,False
73507565_b3lyp_prop_1,1.2174739,204.042258736,52.60000000000001,2.064566223781179,2.4664,2.0,193.44152678117808,-1.949,-9.228,23,15,8.0,262.70519950596633,0.34294598107758417,277,True,True,True,True,True,False
73507565_b3lyp_prop_0,1.3236024,204.042258736,52.60000000000001,2.0038222548185933,2.41053,2.0,193.44152678117808,-2.03,-9.273,23,15,7.0,262.70519950596633,0.36227554386082544,234,True,True,True,True,True,False
73507565_b3lyp,1.1559659,166.026608672,52.60000000000001,1.022937638888889,1.2895,2.0,146.82649030517788,-2.115,-9.366,18,12,5.0,322.85765948990866,0.3790152238741098,187,True,True,True,True,True,False
71362029_b3lyp,1.4246249,147.0320284,57.93,1.5529538605442177,4.56008,1.0,147.3263384114224,-2.498,-10.977,16,11,6.0,364.56657010173495,0.46072472312413937,48,True,True,True,True,True,False
70500537_b3lyp,1.1672888,149.011292956,60.17,1.1757768981481482,2.38936,2.0,118.20058048611683,-2.45,-11.179,14,11,5.0,359.72416066959937,0.410049711124972,124,True,True,True,True,True,False
70407085_b3lyp_prop_1,1.4369732,187.02694302,67.16,2.202264945672713,4.70359,1.0,185.4356169621169,-2.484,-10.645,19,14,8.0,286.60556293836646,0.40170670813330134,143,True,True,True,True,True,False
70407085_b3lyp,1.4940981,149.011292956,67.16,1.195645634920635,3.25249,1.0,138.82058048611682,-2.644,-11.137,14,11,6.0,359.72416066959937,0.4695726379323756,41,True,True,True,True,True,True
70291_b3lyp,0.72045887,150.06807956,34.14,2.3320224074074067,1.07679,1.0,158.89848023072238,-1.699,-10.294,21,11,5.0,357.1909659006293,0.32667626202925704,328,True,True,True,True,True,False
68487052_b3lyp,1.489719,110.036779432,34.14,0.5843914814814811,0.29933,2.0,99.92698505392234,-2.342,-10.703,14,8,5.0,487.1367788623275,0.565868975090307,5,True,False,True,True,False,True
68241_b3lyp,0.773106,136.052429496,34.14,2.05111462962963,1.89566,1.0,141.60249560485568,-1.808,-10.374,18,10,5.0,393.98754206344285,0.36518232924788774,230,True,True,True,True,True,False
68238_b3lyp,0.673275,164.083729624,34.14,2.60562,0.0929115,1.0,176.19446485658904,-1.593,-10.206,24,12,5.0,326.6805454247095,0.29410533956127705,392,True,False,True,True,False,False
6780_b3lyp,0.5537405,208.052429496,34.14,4.579536666666666,0.0020204,3.0,188.319651155256,-1.697,-10.241,24,16,7.0,257.6416070638553,0.21807859548319986,448,True,False,True,True,False,False
6773_b3lyp_prop_5,0.44647345,260.08372962400006,34.14,6.191442752398799,1.52371,3.0,252.2306722571228,-1.578,-9.532,32,20,10.0,206.0988681082898,0.15706071924897835,483,True,False,False,True,False,False
6773_b3lyp_prop_4,0.49248865,260.08372962400006,34.14,6.191859279662304,0.79783,3.0,252.2306722571228,-1.577,-9.542,32,20,11.0,206.0988681082898,0.16427974426990843,479,True,False,False,True,False,False
6773_b3lyp_prop_2,0.46902505,260.08372962400006,34.14,6.177258452748384,2.10733,3.0,252.2306722571228,-1.598,-9.432,32,20,10.0,206.0988681082898,0.1612318598675818,482,True,False,False,True,False,False
6773_b3lyp_prop_0,0.73848784,260.08372962400006,34.14,6.148115672713531,2.58323,3.0,252.2306722571228,-1.498,-9.283,32,20,9.0,206.0988681082898,0.21044105283636425,453,True,False,False,True,False,False
6773_b3lyp,0.45004922,222.06807956,34.14,5.147698514266818,0.998149,3.0,205.61563578112265,-1.612,-9.928,27,17,8.0,241.38076212977762,0.18641405721075027,468,True,True,True,True,True,False
67210468_b3lyp_prop_5,1.2125254,212.047344116,47.28,3.560063361678004,2.9537,2.0,203.07035193075035,-1.961,-9.522,24,16,8.0,252.78770885979836,0.33425085863449516,305,True,True,True,True,True,False
67210468_b3lyp_prop_4,1.3241528,212.047344116,47.28,3.5572232813681026,1.58193,2.0,203.07035193075035,-2.038,-9.457,24,16,9.0,252.78770885979836,0.3545819582638973,247,True,True,True,True,True,False
67210468_b3lyp_prop_3,1.3838619,212.047344116,47.28,3.554577773053665,3.14747,2.0,203.07035193075035,-1.953,-9.161,24,16,7.0,252.78770885979836,0.3654569747147793,229,True,True,True,True,True,False
67210468_b3lyp_prop_2,1.2008985,212.047344116,47.28,3.628041897675737,1.70374,2.0,203.07035193075035,-2.053,-9.179,24,16,8.0,252.78770885979836,0.3321332099137539,309,True,True,True,True,True,False
67210468_b3lyp_prop_1,1.2583139,212.047344116,47.28,3.642314400667675,3.46225,2.0,203.07035193075035,-2.021,-9.021,24,16,9.0,252.78770885979836,0.34259047231056633,279,True,True,True,True,True,False
67210468_b3lyp_prop_0,1.188563,212.047344116,47.28,3.646154215482489,1.87629,2.0,203.07035193075035,-2.142,-9.225,24,16,9.0,252.78770885979836,0.3298865022359127,315,True,True,True,True,True,False
67210468_b3lyp,1.2244478,174.031694052,47.28,2.584487230725624,1.00126,2.0,156.4553154547502,-2.15,-9.569,19,13,6.0,308.0068982887251,0.37981733583483673,184,True,True,True,True,True,False
6699_b3lyp_prop_4,1.0086377,430.1205090560005,52.6,10.204066418835826,2.08939,5.0,397.7352869363798,-1.468,-9.117,51,33,15.0,124.62312575267117,0.05483687454570618,492,True,False,False,True,False,False
6699_b3lyp_prop_2,0.9690248,430.1205090560005,52.6,10.190888837280076,0.889675,5.0,397.7352869363798,-1.569,-8.898,51,33,15.0,124.62312575267117,0.04626004697798369,494,True,False,False,False,False,False
6699_b3lyp_prop_10,1.0204341,430.1205090560005,52.6,10.24804318795803,1.93107,5.0,397.7352869363798,-1.474,-9.157,51,33,17.0,124.62312575267117,0.048544129729278046,493,True,False,False,True,False,False
6699_b3lyp_prop_0,1.0193512,430.1205090560005,52.6,10.179581512352945,3.06022,5.0,397.7352869363798,-1.349,-8.919,51,33,15.0,124.62312575267117,0.05548348440567474,491,True,False,False,False,False,False
6699_b3lyp,1.0779796,392.10485899200046,52.6,9.20474727639887,0.13742,5.0,351.1202504603796,-1.522,-9.183,46,30,15.0,136.70568231847,0.10848810277242282,490,True,False,False,True,False,False
66787266_b3lyp,1.3124093,161.047678464,57.93,1.8506735364701432,4.58721,1.0,164.62232303728905,-2.399,-10.889,19,12,6.0,332.8390871580996,0.4153528788577212,110,True,True,True,True,True,False
616789_b3lyp_prop_5,0.4178183,274.0993796880001,34.14,6.639318424456201,2.09551,3.0,269.5266568829896,-1.571,-9.539,35,21,10.0,195.56031958154625,0.13983734446095167,487,True,False,False,False,False,False
616789_b3lyp_prop_4,0.4606988,274.0993796880001,34.14,6.641637417501347,1.28939,3.0,269.5266568829896,-1.572,-9.526,35,21,11.0,195.56031958154625,0.1464769027526562,485,True,False,False,True,False,False
616789_b3lyp_prop_3,0.65039873,274.0993796880001,34.14,6.610175644421349,2.76098,3.0,269.5266568829896,-1.373,-9.408,35,21,10.0,195.56031958154625,0.182329012007161,471,True,False,False,False,False,False
616789_b3lyp_prop_2,0.47647613,274.0993796880001,34.14,6.603797060316411,2.34678,3.0,269.5266568829896,-1.582,-9.399,35,21,10.0,195.56031958154625,0.1506805552024278,484,True,False,False,True,False,False
616789_b3lyp_prop_1,0.4462375,274.0993796880001,34.14,6.621960545766147,1.87955,3.0,269.5266568829896,-1.566,-9.514,35,21,10.0,195.56031958154625,0.14509144587316658,486,True,False,False,True,False,False
616789_b3lyp_prop_0,0.62670445,274.0993796880001,34.14,6.601638368764172,2.97737,3.0,269.5266568829896,-1.355,-9.215,35,21,9.0,195.56031958154625,0.17790935734211163,473,True,False,False,False,False,False
616789_b3lyp_7,0.9502473,261.078978592,57.93,5.017216661155203,3.44745,3.0,245.9314478394228,-1.812,-10.078,31,20,8.0,205.31320667014205,0.24917253562261876,431,True,True,True,True,True,False
616789_b3lyp_6,0.65672684,261.078978592,57.93,5.045038507889266,4.41316,3.0,245.9314478394228,-2.027,-10.129,31,20,9.0,205.31320667014205,0.19571262308409032,460,True,True,True,True,True,False
