Name,predicted_redox_potential,MW,TopoPSA,LipoaffinityIndex,dipole_moment,nRing,VABC,LUMO,HOMO,nAtom,nHeavyAtom,topoDiameter,capacity_proxy_mAh_g,screen_score,screen_rank,passes_mw,passes_polarity,passes_complexity,passes_electronic,passes_all,pareto_frontier
141161619_b3lyp_2,2.4878724,185.011292956,75.0,1.3447635978835977,1.77469,2.0,173.07915826131696,-3.065,-10.943,17,14,6.0,289.72805623079955,0.5937471882582395,1,True,True,True,False,False,True
12527779_b3lyp_0,2.675571,202.985472132,101.29999999999998,1.2016324348072556,2.55399,2.0,173.36362703657247,-3.726,-11.732,16,15,7.0,264.07290002523564,0.588525462378835,2,True,False,True,False,False,True
141161619_b3lyp_1,2.373868,185.011292956,75.0,1.404873532690854,2.49721,2.0,173.07915826131696,-3.109,-10.995,17,14,7.0,289.72805623079955,0.5721994195582573,3,True,True,True,False,False,False
20443080_b3lyp_0,2.4587927,183.006876272,105.51,1.2038223015873013,2.87968,1.0,176.07000865042255,-3.548,-11.925,15,14,7.0,292.90135639067313,0.5709530117094329,4,True,False,True,False,False,True
68487052_b3lyp,1.489719,110.036779432,34.14,0.5843914814814811,0.29933,2.0,99.92698505392234,-2.342,-10.703,14,8,5.0,487.1367788623275,0.565868975090307,5,True,False,True,True,False,True
78362_b3lyp,2.0166073,158.011627304,81.72,1.2039344444444442,5.31355,1.0,153.05018121798912,-3.124,-11.507,14,12,5.0,339.2342905611728,0.5439017183083826,6,True,True,True,True,True,True
12754795_b3lyp_1,2.0146337,158.011627304,81.72,1.2039344444444442,5.31223,1.0,153.05018121798912,-3.124,-11.506,14,12,5.0,339.2342905611728,0.543554427324159,7,True,True,True,True,True,False
12527779_b3lyp_prop_0,2.3773606,216.005873228,77.50999999999999,2.174319592545351,7.53105,2.0,196.95883608013915,-3.15,-10.835,20,16,8.0,248.15511489499883,0.5394342736120094,8,True,False,True,False,False,False
102160488_b3lyp_1,2.1655028,187.02694302,75.0,0.8792677768329551,3.39809,2.0,175.71561696211694,-2.813,-10.759,19,14,7.0,286.60556293836646,0.5343963033557745,9,True,True,True,False,False,False
141161619_b3lyp_0,2.161396,185.011292956,75.0,1.437128630952381,4.86852,2.0,173.07915826131696,-3.107,-10.988,17,14,6.0,289.72805623079955,0.5335367910533461,10,True,True,True,False,False,False
15269886_b3lyp_0,2.061632,175.02694302,75.0,1.334693219009826,3.40715,1.0,170.7760910370502,-2.82,-10.794,18,13,7.0,306.2554905204725,0.5309201915067764,11,True,True,True,True,True,True
86210053_b3lyp,1.9468415,158.011627304,81.72,1.11094582010582,0.00183835,1.0,153.05018121798915,-3.117,-11.554,14,12,7.0,339.2342905611728,0.5307470102713522,12,True,False,True,False,False,False
141161619_b3lyp_3,2.1504486,185.011292956,75.0,1.3955836309523808,5.14908,2.0,173.07915826131696,-3.155,-10.994,17,14,6.0,289.72805623079955,0.5306877766108823,13,True,True,True,True,True,False
15269886_b3lyp_1,1.9847933,175.02694302,75.0,1.409342795729403,5.089,1.0,170.7760910370502,-2.647,-10.755,18,13,6.0,306.2554905204725,0.5169253487390609,14,True,True,True,True,True,False
21099940_b3lyp_0,1.8531712,158.995642892,75.0,0.7364771759259257,1.62039,2.0,141.12364771038355,-3.17,-11.035,13,12,6.0,337.13478755703665,0.5135318692513973,15,True,False,True,False,False,False
130029656_b3lyp_1,1.9362465,172.027277368,81.72,1.4501577645502643,1.50349,1.0,170.34616584385583,-2.967,-11.436,17,13,7.0,311.5957138252073,0.5112068805728968,16,True,True,True,True,True,False
130029688_b3lyp,1.9335669,172.027277368,81.72,1.539995480914588,6.19588,1.0,170.34616584385583,-2.989,-11.386,17,13,6.0,311.5957138252073,0.5109361665427844,17,True,False,True,True,False,False
20443080_b3lyp,1.836775,158.011627304,81.72,1.146629722222222,3.27686,1.0,153.05018121798915,-3.115,-11.55,14,12,6.0,339.2342905611728,0.5107845759209009,18,True,True,True,True,True,False
141161619_b3lyp_prop_2,2.0890226,198.031694052,51.21,2.4402199971655323,5.39337,2.0,196.67436730488365,-2.538,-10.143,21,15,7.0,270.678703959446,0.507950345339566,19,True,True,True,True,True,False
141161619_b3lyp_prop_1,2.0882049,198.031694052,51.21,2.492617001842404,5.1449,2.0,196.67436730488365,-2.554,-10.41,21,15,8.0,270.678703959446,0.5078013933322723,20,True,True,True,True,True,False
